year,readig
31/12/1981,24.64
31/12/1982,24.57
31/12/1983,25.02
31/12/1984,24.53
31/12/1985,24.39
31/12/1986,24.62
31/12/1987,25.05
31/12/1988,24.93
31/12/1989,24.27
31/12/1990,24.67
31/12/1991,24.78
31/12/1992,24.68
31/12/1993,24.59
31/12/1994,24.76
31/12/1995,24.97
31/12/1996,24.84
31/12/1997,24.81
31/12/1998,25.02
31/12/1999,24.87
31/12/2000,24.92
31/12/2001,25.11
31/12/2002,25.39
31/12/2003,25.36
31/12/2004,25.05
31/12/2005,24.98
31/12/2006,25.12
31/12/2007,25.01
31/12/2008,24.96
31/12/2009,25.56
31/12/2010,25.42
31/12/2011,25.21
31/12/2012,24.92
31/12/2013,25.16
31/12/2014,25.12
31/12/2015,25.22
31/12/2016,25.56
31/12/2017,25.37
31/12/2018,25.02
31/12/2019,25.51
31/12/2020,25.43
